"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"be-model-medicationprescription","be-model-medicationprescription","","","",0,*,"","","","null {[]} {[]}
","Medication prescription - Data Model","Logical model for medication prescription (or some other form of order)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"be-model-medicationprescription.identifier","be-model-medicationprescription.identifier","","","",1,*,"","","","Element {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/II]]} {[]}
","Business identifier(s) for the prescription","Business identifier(s) for the prescription","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.identifier",1,*,"",""
"be-model-medicationprescription.basedOnMedicationLine","be-model-medicationprescription.basedOnMedicationLine","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/be-model-medicationline]]}
","Link to the Medication Line from which this request is based","Link to the Medication Line from which this request is based","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.basedOnMedicationLine",0,1,"",""
"be-model-medicationprescription.patient","be-model-medicationprescription.patient","","","",1,1,"","","","Reference {[]} {[]}
","The person for whom the medication is prescribed/ordered","The person for whom the medication is prescribed/ordered","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.patient",1,1,"",""
"be-model-medicationprescription.status","be-model-medicationprescription.status","","","",1,1,"","","","Element {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/CD]]} {[]}
","Status of the prescription, this should not be status of treatment","Status of the prescription, this should not be status of treatment","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.status",1,1,"",""
"be-model-medicationprescription.medication","be-model-medicationprescription.medication","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/be-model-medication]]}
","Prescribed product, branded, generic, virtual, extemporaneous, etc","Prescribed product, branded, generic, virtual, extemporaneous, etc","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.medication",1,1,"",""
"be-model-medicationprescription.prescriber","be-model-medicationprescription.prescriber","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","The person who made the prescription, and who takes the responsibility of the treatment","Question: would we want to add basic Practicioner model?","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.prescriber",1,1,"",""
"be-model-medicationprescription.organization","be-model-medicationprescription.organization","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization]]}
","The organization from which the prescriber issues the prescription.","The organization from which the prescriber issues the prescription.","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.organization",0,1,"",""
"be-model-medicationprescription.indication","be-model-medicationprescription.indication","","","",0,*,"","","","BackboneElement {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/Class]]} {[]}
","Reason for the prescription (typically diagnosis, or a procedure)","Reason for the prescription (typically diagnosis, or a procedure)","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.indication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"be-model-medicationprescription.indication.id","be-model-medicationprescription.indication.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"be-model-medicationprescription.indication.extension","be-model-medicationprescription.indication.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-medicationprescription.indication.modifierExtension","be-model-medicationprescription.indication.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-medicationprescription.indication.reference","be-model-medicationprescription.indication.reference","","","",0,*,"","","","Element {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/CD]]} {[]}
","Reason for the prescription (typically diagnosis, or a procedure)","Reason for the prescription (typically diagnosis, or a procedure)","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.indication.reference",0,*,"",""
"be-model-medicationprescription.indication.code","be-model-medicationprescription.indication.code","","","",0,*,"","","","Element {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/CD]]} {[]}
","Reason for the prescription (typically diagnosis, or a procedure)","Reason for the prescription (typically diagnosis, or a procedure)","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.indication.code",0,*,"",""
"be-model-medicationprescription.indication.text","be-model-medicationprescription.indication.text","","","",0,1,"","","","Element {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/ST]]} {[]}
","Reason for the prescription in textual form. This might not be allowed by some implementations.","Reason for the prescription in textual form. This might not be allowed by some implementations.","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.indication.text",0,1,"",""
"be-model-medicationprescription.dosage","be-model-medicationprescription.dosage","","","",1,*,"","","","https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/DosagingInformation {[]} {[]}
","Dosaging and administration instructions","Dosaging and administration instructions","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.dosage",1,*,"",""
"be-model-medicationprescription.dosageOverride","be-model-medicationprescription.dosageOverride","","","",0,1,"","","","Element {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/BL]]} {[]}
","Indication if standard dosage is overriden","Indication if standard dosage is overriden","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.dosageOverride",0,1,"",""
