Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.medication.json	21081	-	0	0	1	0	0	0	16	63	0	0	0	0	0	0	0	1	0	0	117	149	0	0	0	11	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineAdherenceStatus.json	2692	3	0	0	1	0	1	0	1	9	0	0	1	0	0	0	0	0	0	0	17	83	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineAdherenceStatusReason.json	3076	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	12	71	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineOriginType.json	1032	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	58	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineRegistrationStatus.json	726	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	54	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationRequestReimbursementType.json	3556	2	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	15	68	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BeMedicationType.json	679	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	49	0	0	0	1	0	1
fsh-generated/resources/MedicationDispense-example-dispense-communitypharmacy-1med.json	3080	3	0	0	0	0	0	0	0	829	0	0	0	0	0	0	0	0	0	0	11	20	0	0	1	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-hospital.json	3049	2	0	0	0	0	0	0	1	722	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-minimal-dispense.json	941	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-1.json	2649	2	0	0	0	0	0	0	1	178	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-2.json	3379	6	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-example-01-lasix.json	3255	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	12	22	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-example-02-hukyndra.json	5057	2	0	0	1	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-example-03-bisoprolol.json	3751	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-example-04-gutron.json	5990	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	22	18	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cnk-codes.json	559	1	13	0	0	0	0	0	0	3	679	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
