Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.medication.json	20873	-	0	0	0	0	0	0	17	62	0	0	0	0	0	0	0	1	0	0	119	140	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-BeMedicationLineAdherenceStatus.json	2692	3	0	0	1	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	16	111	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineAdherenceStatusReason.json	3076	2	0	0	0	0	0	0	1	6	0	0	1	0	0	0	0	0	0	0	15	75	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineOriginType.json	1032	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	59	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineRegistrationStatus.json	726	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7	53	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BeMedicationRequestReimbursementType.json	3556	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	17	60	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-BeMedicationType.json	679	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	48	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-communitypharmacy-1med.json	3080	2	0	0	0	0	0	0	1	796	0	0	0	0	0	0	0	0	0	0	13	20	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-hospital.json	3049	21	0	0	0	0	0	0	0	624	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-minimal-dispense.json	941	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-1.json	2649	2	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-2.json	3379	2	0	0	0	0	0	0	1	160	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-example-01-lasix.json	3255	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	24	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-example-02-hukyndra.json	5057	3	0	0	0	0	0	0	1	160	0	0	0	0	0	0	0	1	0	0	20	19	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-example-03-bisoprolol.json	3751	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-example-04-gutron.json	5990	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cnk-codes.json	559	1	12	0	0	0	0	0	1	3	594	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cti-extended-code.json	1075	1	2	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	7	8	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-be-ns-prescription-ids.json	570	1	2	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-product-package-type.json	585	0	2	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0
fsh-generated/resources/Organization-apotheek-onder-de-toren.json	559	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BasedOnMedicationLine.json	1472	2	0	10	0	0	0	0	1	50	0	0	0	0	0	0	0	0	0	0	34	569	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeDosage.json	2337	2	0	42	0	0	0	0	0	31	0	0	0	0	0	0	0	1	0	0	152	335	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-BeExtAdherenceStatus.json	1596	1	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	33	79	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-BeExtInstructionsForReimbursement.json	1499	1	0	7	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	27	75	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeExtMedicationLineRegistrationStatus.json	1808	2	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	30	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeExtMedicationType.json	1589	1	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	26	67	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeExtOffLabel.json	3796	3	0	15	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	65	103	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeExtRecordedDate.json	1327	1	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	25	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeExtRecorder.json	1587	2	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	26	54	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeMedicationDispense.json	9368	5	0	120	0	0	0	0	0	61	0	0	1	0	0	0	0	1	0	0	306	495	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-BeMedicationExposureCategory.json	1451	1	0	10	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	60	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeMedicationLine.json	12239	7	0	60	0	0	0	0	1	33	0	0	0	0	0	0	0	2	0	0	247	363	0	1	0	13	0	1
fsh-generated/resources/StructureDefinition-BeMedicationPrescription.json	10486	6	0	79	1	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	272	526	0	0	0	16	0	0
fsh-generated/resources/StructureDefinition-BeModelDosagingInformation.json	4272	2	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	76	81	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeModelMedication.json	6125	3	0	18	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	73	108	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeModelMedicationDispense.json	10474	4	0	19	0	0	0	0	0	66	0	0	0	0	0	0	0	1	0	0	97	119	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-BeModelMedicationLine.json	11286	4	0	21	0	0	0	0	0	31	0	0	1	0	0	0	0	0	0	0	114	179	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-BeModelMedicationPrescription.json	14265	5	0	22	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	126	193	0	0	0	14	0	0
fsh-generated/resources/ValueSet-BeMedicationExposureIntentVS.json	1056	1	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	6	228	0	0	0	1	0	0
fsh-generated/resources/ValueSet-BeMedicationLineAdherenceStatusReasonVS.json	627	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	36	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BeMedicationLineAdherenceStatusVS.json	550	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	35	0	0	0	1	0	0
fsh-generated/resources/ValueSet-BeMedicationLineOriginTypeVS.json	539	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	32	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BeMedicationLineRegistrationStatusVS.json	623	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	30	0	0	0	1	0	0
fsh-generated/resources/ValueSet-BeMedicationPrescriptionStatusVS.json	835	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	7	34	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BeMedicationRequestReimbursementTypeVS.json	657	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	29	0	0	0	5	0	0
fsh-generated/resources/ValueSet-BeMedicationTypeVS.json	509	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	27	0	0	0	1	0	0
fsh-generated/resources/ValueSet-BeRouteOfAdministrationVS.json	9280	3	0	0	1	0	0	0	2	135	0	0	0	0	0	0	0	0	0	0	21	189	0	0	0	2	0	0
fsh-generated/resources/ValueSet-be-vs-dispenser-types.json	1085	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	28	0	0	0	0	0	0
