Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.medication.json	18834	-	0	0	0	0	0	0	13	65	0	0	0	0	0	0	0	1	0	0	123	132	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-BeMedicationLineAdherenceStatus.json	2692	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	23	2129	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineAdherenceStatusReason.json	3076	4	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	20	80	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineOriginType.json	1032	3	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	20	68	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineRegistrationStatus.json	725	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	19	72	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BeMedicationRequestReimbursementType.json	3556	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	23	58	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationType.json	679	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	52	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-communitypharmacy-1med.json	3080	5	0	0	0	0	0	0	1	809	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	1
fsh-generated/resources/MedicationDispense-example-dispense-hospital.json	3049	7	0	0	0	0	0	0	0	3330	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-minimal-dispense.json	941	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-1.json	2649	4	0	0	0	0	0	0	1	171	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-2.json	3379	4	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cnk-codes.json	559	5	13	0	1	0	0	0	0	7	595	0	0	0	0	0	0	0	0	0	14	10	0	0	1	1	0	0
fsh-generated/resources/NamingSystem-be-ns-cti-extended-code.json	1075	3	5	0	0	0	0	0	1	8	11	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-prescription-ids.json	570	3	4	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-product-package-type.json	585	3	3	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	13	9	0	0	0	1	0	0
fsh-generated/resources/Organization-apotheek-onder-de-toren.json	559	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BasedOnMedicationLine.json	1471	4	0	14	0	0	0	0	0	27	0	0	1	0	0	0	0	0	0	0	35	167	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeDosage.json	2337	4	0	74	0	0	0	0	0	66	0	0	0	0	0	0	0	1	0	0	140	529	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-BeExtAdherenceStatus.json	1595	4	0	30	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	38	109	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-BeExtInstructionsForReimbursement.json	1498	4	0	28	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	36	93	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeExtMedicationLineRegistrationStatus.json	1807	3	0	26	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	37	94	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeExtMedicationType.json	1582	4	0	25	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	36	89	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeExtOffLabel.json	3795	4	0	31	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	73	131	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeExtRecordedDate.json	1326	3	0	27	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	40	84	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-BeExtRecorder.json	1586	4	0	31	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	35	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeMedicationDispense.json	9400	5	0	122	1	0	0	0	1	65	0	0	0	0	0	0	0	2	0	0	374	895	0	0	0	20	1	1
fsh-generated/resources/StructureDefinition-BeMedicationExposureCategory.json	1450	3	0	25	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	53	95	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeMedicationLine.json	11810	5	0	73	0	0	0	0	0	49	0	0	1	0	0	0	0	1	0	0	297	542	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-BeMedicationPrescription.json	10264	4	0	101	0	0	0	0	0	55	0	0	0	0	0	0	0	1	0	0	295	594	0	0	0	22	0	1
fsh-generated/resources/StructureDefinition-BeModelDosagingInformation.json	4271	4	0	18	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	52	100	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeModelMedication.json	6124	3	0	16	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	80	147	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BeModelMedicationDispense.json	10473	5	0	17	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	110	164	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BeModelMedicationLine.json	11285	4	0	21	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	122	198	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-BeModelMedicationPrescription.json	14264	5	0	19	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	134	250	0	1	0	6	0	0
fsh-generated/resources/ValueSet-BeMedicationExposureIntentVS.json	1056	3	0	0	0	0	0	0	0	239	0	0	1	0	0	0	0	0	0	0	13	328	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BeMedicationLineAdherenceStatusReasonVS.json	627	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	62	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BeMedicationLineAdherenceStatusVS.json	550	3	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	80	0	0	0	1	0	0
fsh-generated/resources/ValueSet-BeMedicationLineOriginTypeVS.json	539	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	13	65	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BeMedicationLineRegistrationStatusVS.json	622	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	62	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BeMedicationPrescriptionStatusVS.json	835	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	65	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BeMedicationRequestReimbursementTypeVS.json	657	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	14	67	0	0	0	1	0	0
fsh-generated/resources/ValueSet-BeMedicationTypeVS.json	509	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	63	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BeRouteOfAdministrationVS.json	9280	3	0	0	1	0	0	0	1	183	0	0	0	0	0	0	0	0	0	0	29	337	0	0	0	1	0	1
fsh-generated/resources/ValueSet-be-vs-dispenser-types.json	1085	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	17	52	0	0	0	0	0	0
