"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelMedicationPrescription","BeModelMedicationPrescription","","","",0,*,"","","","null {[]} {[]}
","Medication prescription (model)","Logical model for medication prescription (or some other form of order)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelMedicationPrescription.groupIdentifier","BeModelMedicationPrescription.groupIdentifier","","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/elementdefinition-identifier|5.2.0]]} {[]}
","Identifier for the group that this prescription belongs to. This might be the common identifier in use cases where one national prescription contains several medication items, which can be handled as separate orders","Identifier for the group that this prescription belongs to. This might be the common identifier in use cases where one national prescription contains several medication items, which can be handled as separate orders","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.groupIdentifier",0,1,"",""
"BeModelMedicationPrescription.identifier","BeModelMedicationPrescription.identifier","","","",1,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/elementdefinition-identifier|5.2.0]]} {[]}
","Business identifier(s) for the prescription","Business identifier(s) for the prescription","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.identifier",1,*,"",""
"BeModelMedicationPrescription.prescriber","BeModelMedicationPrescription.prescriber","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","The person who made the prescription, and who takes the responsibility of the treatment","Question: would we want to add basic Practicioner model?","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.prescriber",1,1,"",""
"BeModelMedicationPrescription.organization","BeModelMedicationPrescription.organization","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization]]}
","The organization from which the prescriber issues the prescription.","The organization from which the prescriber issues the prescription.","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.organization",0,1,"",""
"BeModelMedicationPrescription.issueDate","BeModelMedicationPrescription.issueDate","","","",1,1,"","","","dateTime {[]} {[]}
","Time of issuing (signing) the prescription by health care practicioner","Time of issuing (signing) the prescription by health care practicioner","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.issueDate",1,1,"",""
"BeModelMedicationPrescription.patient","BeModelMedicationPrescription.patient","","","",1,1,"","","","Reference {[]} {[]}
","The person for whom the medication is prescribed/ordered","The person for whom the medication is prescribed/ordered","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.patient",1,1,"",""
"BeModelMedicationPrescription.recorder","BeModelMedicationPrescription.recorder","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","The recorder of the prescription/draft in the information system","The recorder of the prescription/draft in the information system","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.recorder",0,1,"",""
"BeModelMedicationPrescription.recordedDate","BeModelMedicationPrescription.recordedDate","","","",0,1,"","","","dateTime {[]} {[]}
","Time of authoring the prescription/draft in the information system","Time of authoring the prescription/draft in the information system","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.recordedDate",0,1,"",""
"BeModelMedicationPrescription.status","BeModelMedicationPrescription.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the prescription, this should not be status of treatment","Status of the prescription, this should not be status of treatment","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.status",1,1,"",""
