"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"be-model-medication","be-model-medication","","","",0,*,"","","","null {[]} {[]}
","Medication - logical model","A logical data model of the medication.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"be-model-medication.identifier","be-model-medication.identifier","","","",0,*,"","","","BackboneElement {[]} {[]}
","The identifier(s) of the product, independently of the level of product. If several identifiers are specified, they shall not have conflicting meanings.","The identifier(s) of the product, independently of the level of product. If several identifiers are specified, they shall not have conflicting meanings.","","","","","","","","","",,,,,"",,,,"be-model-medication.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"be-model-medication.identifier.id","be-model-medication.identifier.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"be-model-medication.identifier.extension","be-model-medication.identifier.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-medication.identifier.modifierExtension","be-model-medication.identifier.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-medication.identifier.medicinalProductIdentifier","be-model-medication.identifier.medicinalProductIdentifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier at the product level - can be MPID or national identifier","Identifier at the product level - can be MPID or national identifier","","","","","","","","","",,,,,"",,,,"be-model-medication.identifier.medicinalProductIdentifier",0,*,"",""
"be-model-medication.identifier.packagedProductIdentifier","be-model-medication.identifier.packagedProductIdentifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier at the package level - can be PCID or national","Identifier at the package level - can be PCID or national","","","","","","","","","",,,,,"",,,,"be-model-medication.identifier.packagedProductIdentifier",0,*,"",""
"be-model-medication.identifier.pharmaceuticalProductIdentifier","be-model-medication.identifier.pharmaceuticalProductIdentifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier at the virtual or administrable product level - can be PhPID or national virtual/administrable product code","Identifier at the virtual or administrable product level - can be PhPID or national virtual/administrable product code","","","","","","","","","",,,,,"",,,,"be-model-medication.identifier.pharmaceuticalProductIdentifier",0,*,"",""
"be-model-medication.productCode","be-model-medication.productCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Code for the product that is actually being specified, in established terminologies","Code for the product that is actually being specified, in established terminologies","","","","","","","","","",,,,,"",,,,"be-model-medication.productCode",0,1,"",""
"be-model-medication.classification","be-model-medication.classification","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Classification (e.g. ATC; narcotic/psychotropic; orphan drug; etc.)","Classification (e.g. ATC; narcotic/psychotropic; orphan drug; etc.)","","","","","","","","","",,,,,"",,,,"be-model-medication.classification",0,*,"",""
