"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"be-model-medicationprescription","be-model-medicationprescription","","","",0,*,"","","","null {[]} {[]}
","Medication prescription - Data Model","Logical model for medication prescription (or some other form of order)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"be-model-medicationprescription.groupIdentifier","be-model-medicationprescription.groupIdentifier","","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/elementdefinition-identifier]]} {[]}
","Identifier for the group that this prescription belongs to. This might be the common identifier in use cases where one national prescription contains several medication items, which can be handled as separate orders","Identifier for the group that this prescription belongs to. This might be the common identifier in use cases where one national prescription contains several medication items, which can be handled as separate orders","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.groupIdentifier",0,1,"",""
"be-model-medicationprescription.identifier","be-model-medicationprescription.identifier","","","",1,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/elementdefinition-identifier]]} {[]}
","Business identifier(s) for the prescription","Business identifier(s) for the prescription","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.identifier",1,*,"",""
"be-model-medicationprescription.prescriber","be-model-medicationprescription.prescriber","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","The person who made the prescription, and who takes the responsibility of the treatment","Question: would we want to add basic Practicioner model?","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.prescriber",1,1,"",""
"be-model-medicationprescription.organization","be-model-medicationprescription.organization","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization]]}
","The organization from which the prescriber issues the prescription.","The organization from which the prescriber issues the prescription.","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.organization",0,1,"",""
"be-model-medicationprescription.issueDate","be-model-medicationprescription.issueDate","","","",1,1,"","","","dateTime {[]} {[]}
","Time of issuing (signing) the prescription by health care practicioner","Time of issuing (signing) the prescription by health care practicioner","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.issueDate",1,1,"",""
"be-model-medicationprescription.patient","be-model-medicationprescription.patient","","","",1,1,"","","","Reference {[]} {[]}
","The person for whom the medication is prescribed/ordered","The person for whom the medication is prescribed/ordered","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.patient",1,1,"",""
"be-model-medicationprescription.recorder","be-model-medicationprescription.recorder","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","The recorder of the prescription/draft in the information system","The recorder of the prescription/draft in the information system","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.recorder",0,1,"",""
"be-model-medicationprescription.recordedDate","be-model-medicationprescription.recordedDate","","","",0,1,"","","","dateTime {[]} {[]}
","Time of authoring the prescription/draft in the information system","Time of authoring the prescription/draft in the information system","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.recordedDate",0,1,"",""
"be-model-medicationprescription.status","be-model-medicationprescription.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the prescription, this should not be status of treatment","Status of the prescription, this should not be status of treatment","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.status",1,1,"",""
"be-model-medicationprescription.statusReason","be-model-medicationprescription.statusReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for the current status of prescription, for example the reason why the prescription was made invalid","Reason for the current status of prescription, for example the reason why the prescription was made invalid","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.statusReason",0,*,"",""
"be-model-medicationprescription.category","be-model-medicationprescription.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Category or categories of prescription. For example type of reimbursement, or type of prescription (e.g. hospital, private, etc).","Category or categories of prescription. For example type of reimbursement, or type of prescription (e.g. hospital, private, etc).","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.category",0,*,"",""
"be-model-medicationprescription.validFrom","be-model-medicationprescription.validFrom","","","",0,1,"","","","dateTime {[]} {[]}
","Effective date of the prescription. The prescription is not dispensable before this date. In most cases this information repeats issueDate","Effective date of the prescription. The prescription is not dispensable before this date. In most cases this information repeats issueDate","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.validFrom",0,1,"",""
"be-model-medicationprescription.validUntil","be-model-medicationprescription.validUntil","","","",0,1,"","","","dateTime {[]} {[]}
","The validity period end date. The prescription is not dispensable after this date.","The validity period end date. The prescription is not dispensable after this date.","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.validUntil",0,1,"",""
"be-model-medicationprescription.basedOnMedicationLine","be-model-medicationprescription.basedOnMedicationLine","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/be-model-medicationline]]}
","Link to the Medication Line from which this request is based","Link to the Medication Line from which this request is based","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.basedOnMedicationLine",0,1,"",""
