"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BELMMedicationLine","BELMMedicationLine","","","",0,*,"","","","null {[]} {[]}
","Medication Treatment Line - logical model","A model for representing a Treatment Line.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BELMMedicationLine.uniqueIdentifier","BELMMedicationLine.uniqueIdentifier","","","",1,1,"","","","Identifier {[]} {[]}
","Unique identifier","A unique identifier for the medication line. This identifier alone may be the same for different versions of the medication line.","","","","","","","","","",,,,,"",,,,"BELMMedicationLine.uniqueIdentifier",1,1,"",""
"BELMMedicationLine.versionIdentifier","BELMMedicationLine.versionIdentifier","","","",1,1,"","","","string {[]} {[]}
","Timestamp the medication line content was recorded or last updated.","Timestamp the medication line content was recorded or last updated.","","","","","","","","","",,,,,"",,,,"BELMMedicationLine.versionIdentifier",1,1,"",""
"BELMMedicationLine.lastUpdatedDate","BELMMedicationLine.lastUpdatedDate","","","",1,1,"","","","string {[]} {[]}
","Timestamp the medication line content was recorded or last updated.","Timestamp the medication line content was recorded or last updated."," We consider this is redundant with the above, given the intended use in Belgium (version is a date). How to ensure the compatibility?","","","","","","","","",,,,,"",,,,"BELMMedicationLine.lastUpdatedDate",1,1,"",""
"BELMMedicationLine.status","BELMMedicationLine.status","","","",1,1,"","","","code {[]} {[]}
","Status of the treatment line entry","Status of the treatment line entry","","","","","","","","","",,,,,"",,,,"BELMMedicationLine.status",1,1,"",""
"BELMMedicationLine.statusReason","BELMMedicationLine.statusReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason for the status","Reason for the status"," We consider this is not necessary - should we add?","","","","","","","","",,,,,"",,,,"BELMMedicationLine.statusReason",0,1,"",""
"BELMMedicationLine.recordedDate","BELMMedicationLine.recordedDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date the medication line was first recorded","Date the medication line was first recorded"," We consider this is not necessary","","","","","","","","",,,,,"",,,,"BELMMedicationLine.recordedDate",0,1,"",""
"BELMMedicationLine.assertedDate","BELMMedicationLine.assertedDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date the medication line was first asserted or known","Date the medication line was first asserted or known"," We consider this is not necessary","","","","","","","","",,,,,"",,,,"BELMMedicationLine.assertedDate",0,1,"",""
"BELMMedicationLine.recorder","BELMMedicationLine.recorder","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","Recorder","Recorder","We understand this will be updated as the line changes","","","","","","","","",,,,,"",,,,"BELMMedicationLine.recorder",1,1,"",""
"BELMMedicationLine.patient","BELMMedicationLine.patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","Patient","Patient","","","","","","","","","",,,,,"",,,,"BELMMedicationLine.patient",1,1,"",""
"BELMMedicationLine.category","BELMMedicationLine.category","","","",0,1,"","","","BackboneElement {[]} {[]}
","Category for the treatment line","Category for the treatment line","","","","","","","","","",,,,,"",,,,"BELMMedicationLine.category",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BELMMedicationLine.category.id","BELMMedicationLine.category.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"BELMMedicationLine.category.extension","BELMMedicationLine.category.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"BELMMedicationLine.category.modifierExtension","BELMMedicationLine.category.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"BELMMedicationLine.category.originType","BELMMedicationLine.category.originType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The origin...","The origin...","","","","","","","","","",,,,,"",,,,"BELMMedicationLine.category.originType",0,1,"",""
"BELMMedicationLine.medication","BELMMedicationLine.medication","","","",1,1,"","","","BackboneElement {[]} {[]}
","The product or substance","The product or substance","","","","","","","","","",,,,,"",,,,"BELMMedicationLine.medication",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BELMMedicationLine.medication.id","BELMMedicationLine.medication.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"BELMMedicationLine.medication.extension","BELMMedicationLine.medication.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"BELMMedicationLine.medication.modifierExtension","BELMMedicationLine.medication.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"BELMMedicationLine.medication.product","BELMMedicationLine.medication.product","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/BELMMedProduct]]}
","Product reference, identifier or name","Product reference, identifier or name","","","","","","","","","",,,,,"",,,,"BELMMedicationLine.medication.product",1,1,"",""
