Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.medication.json	19521	-	0	0	0	0	0	0	16	67	0	0	1	0	0	0	0	1	0	0	111	135	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-BeMedicationLineAdherenceStatus.json	2692	4	0	0	2	0	1	0	1	12	0	0	0	0	0	0	0	0	0	0	16	610	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineAdherenceStatusReason.json	3076	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	14	98	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineOriginType.json	1032	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	77	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationLineRegistrationStatus.json	726	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	6	68	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BeMedicationRequestReimbursementType.json	3556	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	88	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BeMedicationType.json	679	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	7	41	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-communitypharmacy-1med.json	3080	5	0	0	0	0	0	0	0	797	0	0	0	0	0	0	0	0	0	0	11	17	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-hospital.json	3049	4	0	0	0	0	0	0	1	778	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-minimal-dispense.json	941	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-1.json	2649	3	0	0	0	0	0	0	1	183	0	0	0	0	0	0	0	1	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-2.json	3379	3	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-GOFSH-GENERATED-ID-0.json	3187	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cnk-codes.json	559	3	14	0	0	0	0	0	0	4	1236	0	0	0	0	0	0	0	0	0	7	6	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-be-ns-cti-extended-code.json	1075	2	5	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-prescription-ids.json	570	2	5	0	0	0	0	0	1	3	9	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-product-package-type.json	585	2	4	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Organization-apotheek-onder-de-toren.json	559	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BasedOnMedicationLine.json	1472	3	0	12	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	34	565	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeDosage.json	2337	3	0	45	0	0	0	0	0	37	0	0	1	0	0	0	0	1	0	0	160	331	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-BeExtAdherenceStatus.json	1596	2	0	34	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	41	91	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeExtInstructionsForReimbursement.json	1499	3	0	32	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	32	83	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeExtMedicationLineRegistrationStatus.json	1808	2	0	32	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeExtMedicationType.json	1589	3	0	32	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	32	70	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeExtOffLabel.json	3796	3	0	37	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	111	99	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeExtRecordedDate.json	1327	2	0	32	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	31	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeExtRecorder.json	1587	3	0	32	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	31	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeMedicationDispense.json	9368	4	0	114	0	0	0	0	0	60	0	0	0	0	0	0	0	1	0	0	360	634	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-BeMedicationExposureCategory.json	1451	3	0	35	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	40	70	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeMedicationLine.json	12032	5	0	75	0	0	0	0	0	45	0	0	1	0	0	0	0	2	0	0	289	383	0	0	0	13	1	1
fsh-generated/resources/StructureDefinition-BeMedicationPrescription.json	10486	4	0	101	0	0	0	0	0	49	0	0	0	0	0	0	0	1	0	0	336	495	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-BeModelDosagingInformation.json	4272	3	0	37	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	52	81	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-BeModelMedication.json	6125	4	0	40	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	87	111	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeModelMedicationDispense.json	10474	4	0	26	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	116	128	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-BeModelMedicationLine.json	11286	4	0	26	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	135	146	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-BeModelMedicationPrescription.json	14265	4	0	16	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	154	149	0	0	0	7	0	1
fsh-generated/resources/ValueSet-BeMedicationExposureIntentVS.json	1056	3	0	0	0	0	0	0	1	285	0	0	0	0	0	0	0	0	0	0	6	257	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BeMedicationLineAdherenceStatusReasonVS.json	627	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	36	0	1	0	1	0	0
fsh-generated/resources/ValueSet-BeMedicationLineAdherenceStatusVS.json	550	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	33	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BeMedicationLineOriginTypeVS.json	539	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	33	0	0	0	0	0	0
