Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.medication.json	12109	-	0	0	0	0	0	0	3	202	0	0	1	0	0	0	0	0	0	0	93	109	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-medication-line-origin-type.json	643	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	22	2344	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-medication-type.json	761	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	16	82	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-communitypharmacy-1med.json	3081	4	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0	0	24	20	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-hospital.json	3050	3	0	0	0	0	0	0	0	3366	0	0	0	0	0	0	0	0	0	0	21	16	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-minimal-dispense.json	937	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-1.json	2650	3	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-2.json	3380	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	15	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cnk-codes.json	559	3	11	0	0	0	0	0	0	9	251	0	0	0	0	0	0	0	0	0	18	16	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-be-ns-cti-extended-code.json	1075	3	3	0	0	0	0	0	0	6	12	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-prescription-ids.json	570	2	3	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-product-package-type.json	585	2	4	0	0	1	0	0	0	10	10	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0
fsh-generated/resources/Organization-apotheek-onder-de-toren.json	559	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BasedOnMedicationLine.json	1392	3	0	9	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	39	171	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeMedicationLine.json	8260	3	0	107	0	0	0	0	0	37	0	0	0	0	0	0	0	2	0	0	186	503	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-BeMedicationPrescription.json	10256	5	0	100	0	0	0	0	0	125	0	0	1	0	0	0	0	3	0	0	296	564	0	0	0	12	1	2
fsh-generated/resources/StructureDefinition-BeModelDosagingInformation.json	2911	3	0	27	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	45	84	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeModelMedication.json	4640	2	0	33	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	72	217	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeModelMedicationDispense.json	9387	4	0	35	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	101	132	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeModelMedicationLine.json	13835	4	0	46	0	0	0	0	0	31	0	0	0	0	0	0	0	1	0	0	179	180	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-BeModelMedicationPrescription.json	16002	4	0	35	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	204	197	0	1	0	6	0	1
fsh-generated/resources/StructureDefinition-DispenseRequestNeeded.json	1237	2	0	22	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	41	66	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ExposureCategory.json	1404	3	0	23	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	36	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-be-dosage.json	1124	2	0	69	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	114	236	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-be-ext-OffLabel.json	3798	3	0	36	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	71	100	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-medicationdispense.json	7409	3	0	115	1	0	0	0	0	55	0	0	0	0	0	0	0	4	0	0	336	714	0	0	0	14	0	1
fsh-generated/resources/ValueSet-be-vs-dispenser-types.json	1085	3	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	27	125	0	0	0	0	0	0
fsh-generated/resources/ValueSet-medication-exposure-category-vs.json	1060	2	0	0	0	0	0	0	0	93	0	0	1	0	0	0	0	0	0	0	15	172	0	0	0	0	0	0
fsh-generated/resources/ValueSet-medication-line-origin-type-vs.json	607	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	16	60	0	0	0	0	0	0
fsh-generated/resources/ValueSet-medication-type-vs.json	505	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	67	0	0	0	1	0	0
